accident_index,year,location_easting_osgr,location_northing_osgr,longitude,latitude,urban_or_rural_area,lad2014_code,lad2014_name,road_class,road_classcat,cas_severity,cas_mode
201343P096013,2013,471913,197685,-.9614409804344177,51.67329406738281,2,E07000179,South Oxfordshire,Motorway,Motorway,Serious,car/taxi
2017010069334,2017,556410,192870,.257617,51.612937,2,E09000016,Havering,Motorway,Motorway,Serious,car/taxi
201204TA12009,2012,387082,439742,-2.197869062423706,53.85374450683594,2,E07000122,Pendle,Motorway,Motorway,Serious,car/taxi
2012070360536,2012,346800,374820,-2.799132108688354,53.26767730712891,2,E06000050,Cheshire West and Chester,Motorway,Motorway,Serious,car/taxi
2016460097644,2016,613928,137271,1.055518984794617,51.0942497253418,2,E07000112,Shepway,Motorway,Motorway,Serious,heavy goods
201406X083629,2014,393846,412473,-2.094491004943848,53.60876846313477,2,E08000005,Rochdale,Motorway,Motorway,Serious,car/taxi
2008230895543,2008,450780,279270,-1.254927039146423,52.40905380249023,2,E07000220,Rugby,Motorway,Motorway,Serious,car/taxi
200830M010087,2008,445710,373790,-1.316241025924683,53.25913619995117,2,E07000033,Bolsover,Motorway,Motorway,Serious,car/taxi
201004TA10145,2010,356330,424540,-2.663188934326172,53.71543502807617,2,E07000126,South Ribble,Motorway,Motorway,Serious,car/taxi
200543N249085,2005,499880,186300,-.5603560209274292,51.56668853759766,2,E07000006,South Bucks,Motorway,Motorway,Serious,motorcycle
201142I378711,2011,548990,210140,.1579039990901947,51.77006530761719,2,E07000073,Harlow,Motorway,Motorway,Serious,car/taxi
2013160B01671,2013,484351,407621,-.7280669808387756,53.55843353271484,2,E06000013,North Lincolnshire,Motorway,Motorway,Serious,car/taxi
2015440452941,2015,465206,151913,-1.066853046417236,51.26265335083008,2,E07000084,Basingstoke and Deane,Motorway,Motorway,Serious,car/taxi
201004TA10223,2010,351160,442760,-2.744415044784546,53.87872314453125,2,E07000128,Wyre,Motorway,Motorway,Serious,heavy goods
2017450192882,2017,517693,156691,-.313286,51.297189,2,E07000210,Mole Valley,Motorway,Motorway,Serious,car/taxi
20084100T1070,2008,508770,217910,-.4222869873046875,51.84915161132813,2,E07000096,Dacorum,Motorway,Motorway,Serious,car/taxi
20164100T3007,2016,526530,200149,-.1694539934396744,51.68536376953125,2,E07000098,Hertsmere,Motorway,Motorway,Serious,pedestrian
2006070604482,2006,366390,386990,-2.506716012954712,53.3786735534668,2,E06000007,Warrington,Motorway,Motorway,Serious,car/taxi
20084100T3045,2008,515620,202680,-.3279510140419006,51.71089935302734,2,E07000240,St Albans,Motorway,Motorway,Serious,car/taxi
200745MO06252,2007,510200,157910,-.4203470051288605,51.30958938598633,2,E07000207,Elmbridge,Motorway,Motorway,Serious,car/taxi
200901TB00078,2009,504490,177720,-.496410995721817,51.48873138427734,2,E09000017,Hillingdon,Motorway,Motorway,Serious,car/taxi
2009520900824,2009,329340,131300,-3.010047912597656,51.07659912109375,2,E07000188,Sedgemoor,Motorway,Motorway,Serious,car/taxi
20074100T1198,2007,514370,197030,-.3478850126266479,51.66037368774414,2,E07000098,Hertsmere,Motorway,Motorway,Serious,car/taxi
200745TA03804,2007,528970,153620,-.1527390033006668,51.26709365844727,2,E07000211,Reigate and Banstead,Motorway,Motorway,Serious,heavy goods
2007230796944,2007,445580,281660,-1.331040024757385,52.43099594116211,2,E07000220,Rugby,Motorway,Motorway,Serious,car/taxi
200730M010015,2007,444630,371240,-1.332785964012146,53.23630905151367,2,E07000038,North East Derbyshire,Motorway,Motorway,Serious,heavy goods
2015460263126,2015,618070,137180,1.112802028656006,51.09244918823242,2,E07000112,Shepway,Motorway,Motorway,Serious,light goods
